Company,Item,Calories,"Calories from
Fat","Total Fat
(g)","Saturated Fat
(g)","Trans Fat
(g)","Cholesterol
(mg)","Sodium 
(mg)","Carbs
(g)","Fiber
(g)","Sugars
(g)","Protein
(g)","Weight Watchers
Pnts"
McDonald’s,Premium Grilled Chicken Ranch BLT Sandwich,380.00,90.00,10.00,3.00,0.00,75.00,1000.00,41.00,4.00,9.00,31.00,361.00
McDonald’s,Premium Crispy Chicken Ranch BLT Sandwich,540.00,210.00,23.00,4.50,0.00,55.00,1160.00,56.00,3.00,11.00,27.00,528.50
McDonald’s,Southern Style Crispy Chicken Sandwich,400.00,150.00,17.00,3.00,0.00,45.00,1030.00,39.00,1.00,6.00,24.00,385.00
McDonald’s,Ranch Snack Wrap® (Crispy),340.00,150.00,17.00,4.50,0.00,30.00,810.00,33.00,1.00,2.00,14.00,332.50
McDonald’s,Ranch Snack Wrap® (Grilled),270.00,90.00,10.00,4.00,0.00,45.00,830.00,26.00,1.00,2.00,18.00,258.00
McDonald’s,Honey Mustard Snack Wrap® (Crispy),330.00,140.00,16.00,4.50,0.00,30.00,780.00,34.00,1.00,4.00,14.00,324.50
McDonald’s,Honey Mustard Snack Wrap® (Grilled),260.00,80.00,9.00,3.50,0.00,45.00,800.00,27.00,1.00,4.00,18.00,249.50
McDonald’s,Chipotle BBQ Snack Wrap® (Crispy),330.00,140.00,15.00,4.50,0.00,30.00,810.00,35.00,1.00,4.00,14.00,324.50
McDonald’s,Chipotle BBQ Snack Wrap® (Grilled),260.00,80.00,9.00,3.50,0.00,45.00,830.00,28.00,1.00,5.00,18.00,250.50
McDonald’s,Angus Bacon & Cheese Snack Wrap,390.00,190.00,21.00,9.00,1.00,75.00,1080.00,28.00,1.00,4.00,21.00,382.00
McDonald’s,Angus Chipotle BBQ Bacon,800.00,350.00,39.00,18.00,2.00,145.00,2020.00,66.00,4.00,16.00,45.00,789.00
McDonald’s,Angus Chipotle BBQ Bacon Snack Wrap,400.00,190.00,22.00,10.00,1.00,75.00,1060.00,30.00,1.00,6.00,21.00,395.00
McDonald’s,Angus Deluxe Snack Wrap,410.00,220.00,25.00,10.00,1.50,75.00,990.00,27.00,2.00,3.00,20.00,403.00
McDonald’s,Angus Mushroom & Swiss Snack Wrap,430.00,230.00,26.00,10.00,1.50,75.00,730.00,27.00,2.00,2.00,22.00,420.00
McDonald’s,Mac Snack Wrap,330.00,170.00,19.00,7.00,1.00,45.00,690.00,26.00,1.00,3.00,15.00,325.00
McDonald’s,Small French Fries,230.00,100.00,11.00,1.50,0.00,0.00,160.00,29.00,3.00,0.00,3.00,228.50
McDonald’s,Medium French Fries,380.00,170.00,19.00,2.50,0.00,0.00,270.00,48.00,5.00,0.00,4.00,378.50
McDonald’s,Large French Fries,500.00,220.00,25.00,3.50,0.00,0.00,350.00,63.00,6.00,0.00,6.00,497.50
McDonald’s,Ketchup Packet,15.00,0.00,0.00,0.00,0.00,0.00,110.00,3.00,0.00,2.00,0.00,17.00
McDonald’s,Salt Packet,0.00,0.00,0.00,0.00,0.00,0.00,270.00,0.00,0.00,0.00,0.00,0.00
McDonald’s,Chicken McNuggets® (4 piece),190.00,110.00,12.00,2.00,0.00,25.00,360.00,12.00,1.00,0.00,9.00,183.00
McDonald’s,Chicken McNuggets® (6 piece),280.00,160.00,18.00,3.00,0.00,40.00,540.00,18.00,1.00,0.00,13.00,270.00
McDonald’s,Chicken McNuggets® (10 piece),470.00,270.00,30.00,5.00,0.00,65.00,900.00,30.00,2.00,0.00,22.00,453.00
McDonald’s,Barbeque Sauce,50.00,0.00,0.00,0.00,0.00,0.00,260.00,12.00,0.00,10.00,0.00,60.00
McDonald’s,Honey,50.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,11.00,0.00,61.00
McDonald’s,Hot Mustard Sauce,60.00,20.00,2.50,0.00,0.00,5.00,250.00,9.00,2.00,6.00,1.00,65.00
McDonald’s,Sweet ‘N Sour Sauce,50.00,0.00,0.00,0.00,0.00,0.00,150.00,12.00,0.00,10.00,0.00,60.00
McDonald’s,Chicken Selects® Premium Breast Strips (3 pc),400.00,210.00,24.00,3.50,0.00,50.00,1010.00,23.00,0.00,0.00,23.00,380.50
McDonald’s,Chicken Selects® Premium Breast Strips (5 pc),660.00,360.00,40.00,6.00,0.00,85.00,1680.00,39.00,0.00,0.00,38.00,628.00
McDonald’s,Spicy Buffalo Sauce,60.00,50.00,6.00,1.00,0.00,0.00,800.00,1.00,1.00,0.00,0.00,61.00
McDonald’s,Creamy Ranch Sauce,170.00,160.00,18.00,3.00,0.00,10.00,270.00,2.00,0.00,1.00,0.00,174.00
McDonald’s,Tangy Honey Mustard Sauce,60.00,20.00,2.00,0.00,0.00,5.00,140.00,10.00,0.00,8.00,0.00,68.00
McDonald’s,Southwestern Chipotle Barbeque Sauce,60.00,0.00,0.00,0.00,0.00,0.00,210.00,15.00,1.00,11.00,0.00,71.00
McDonald’s,Premium Southwest Salad with Grilled Chicken,320.00,80.00,9.00,3.00,0.00,70.00,960.00,30.00,6.00,11.00,30.00,304.00
McDonald’s,Premium Southwest Salad with Crispy Chicken,430.00,180.00,20.00,4.00,0.00,55.00,920.00,38.00,6.00,12.00,26.00,420.00
McDonald’s,Premium Southwest Salad (without chicken),140.00,40.00,4.50,2.00,0.00,10.00,150.00,20.00,6.00,6.00,6.00,142.00
McDonald’s,Premium Bacon Ranch Salad with Grilled Chicken,260.00,90.00,9.00,4.00,0.00,90.00,1010.00,12.00,3.00,5.00,33.00,236.00
McDonald’s,Premium Bacon Ranch Salad with Crispy Chicken,370.00,180.00,20.00,6.00,0.00,75.00,970.00,20.00,3.00,6.00,29.00,353.00
McDonald’s,Premium Bacon Ranch Salad (without chicken),140.00,70.00,7.00,3.50,0.00,25.00,300.00,10.00,3.00,4.00,9.00,138.50
McDonald’s,Premium Caesar Salad with Grilled Chicken,220.00,60.00,6.00,3.00,0.00,75.00,890.00,12.00,3.00,5.00,30.00,198.00
McDonald’s,Premium Caesar Salad with Crispy Chicken,330.00,150.00,17.00,4.50,0.00,60.00,840.00,20.00,3.00,6.00,26.00,314.50
McDonald’s,Premium Caesar Salad (without chicken),90.00,35.00,4.00,2.50,0.00,10.00,180.00,9.00,3.00,4.00,7.00,89.50
McDonald’s,Side Salad,20.00,0.00,0.00,0.00,0.00,0.00,10.00,4.00,1.00,2.00,1.00,21.00
McDonald’s,Butter Garlic Croutons,60.00,15.00,1.50,0.00,0.00,0.00,140.00,10.00,1.00,0.00,2.00,58.00
McDonald’s,Snack Size Fruit & Walnut Salad,210.00,70.00,8.00,1.50,0.00,5.00,60.00,31.00,2.00,25.00,4.00,232.50
McDonald’s,Salad Dressings,,,,,,,,,,,,
McDonald’s,Newman’s Own® Creamy Southwest Dressing,100.00,50.00,6.00,1.00,0.00,20.00,340.00,11.00,0.00,3.00,1.00,103.00
McDonald’s,Newman’s Own® Creamy Caesar Dressing,190.00,170.00,18.00,3.50,0.00,20.00,500.00,4.00,0.00,2.00,2.00,193.50
McDonald’s,Newman’s Own® Low Fat Balsamic Vinaigrette,40.00,25.00,3.00,0.00,0.00,0.00,730.00,4.00,0.00,3.00,0.00,43.00
McDonald’s,Newman’s Own® Low Fat Family Recipe Italian Dressing,60.00,20.00,2.50,0.00,0.00,0.00,730.00,8.00,0.00,1.00,1.00,60.00
McDonald’s,Newman’s Own® Ranch Dressing,170.00,130.00,15.00,2.50,0.00,20.00,530.00,9.00,0.00,4.00,1.00,175.50
McDonald’s,Egg McMuffin®,300.00,110.00,12.00,5.00,0.00,260.00,820.00,30.00,2.00,3.00,18.00,290.00
McDonald’s,Sausage McMuffin®,370.00,200.00,22.00,8.00,0.00,45.00,850.00,29.00,2.00,2.00,14.00,366.00
McDonald’s,Sausage McMuffin® with Egg,450.00,250.00,27.00,10.00,0.00,285.00,920.00,30.00,2.00,2.00,21.00,441.00
McDonald’s,English Muffin,160.00,30.00,3.00,0.50,0.00,0.00,280.00,27.00,2.00,2.00,5.00,157.50
McDonald’s,"Bacon, Egg & Cheese Biscuit (Regular Size Biscuit)",420.00,210.00,23.00,12.00,0.00,235.00,1160.00,37.00,2.00,3.00,15.00,420.00
McDonald’s,"Bacon, Egg & Cheese Biscuit (Large Size Biscuit)",480.00,240.00,27.00,12.00,0.00,235.00,1270.00,43.00,3.00,4.00,15.00,481.00
McDonald’s,Sausage Biscuit with Egg (Regular Size Biscuit),510.00,290.00,33.00,14.00,0.00,250.00,1170.00,36.00,2.00,2.00,18.00,508.00
McDonald’s,Sausage Biscuit with Egg (Large Size Biscuit),570.00,330.00,37.00,15.00,0.00,250.00,1280.00,42.00,3.00,3.00,18.00,570.00
McDonald’s,Sausage Biscuit (Regular Size Biscuit),430.00,240.00,27.00,12.00,0.00,30.00,1080.00,34.00,2.00,2.00,11.00,433.00
McDonald’s,Sausage Biscuit (Large Size Biscuit),480.00,280.00,31.00,13.00,0.00,30.00,1190.00,39.00,3.00,3.00,11.00,485.00
McDonald’s,Southern Style Chicken Biscuit (Regular Size Biscuit),410.00,180.00,20.00,8.00,0.00,30.00,1180.00,41.00,2.00,3.00,17.00,404.00
McDonald’s,Southern Style Chicken Biscuit (Large Size Biscuit),470.00,220.00,24.00,9.00,0.00,30.00,1290.00,46.00,3.00,4.00,17.00,466.00
McDonald’s,"Steak, Egg & Cheese Bagel",660.00,300.00,33.00,12.00,1.00,300.00,1580.00,56.00,3.00,7.00,33.00,646.00
McDonald’s,"Bacon, Egg & Cheese McGriddles®",420.00,160.00,18.00,8.00,0.00,240.00,1110.00,48.00,2.00,15.00,15.00,428.00
McDonald’s,"Sausage, Egg & Cheese McGriddles®",560.00,290.00,32.00,12.00,0.00,265.00,1360.00,48.00,2.00,15.00,20.00,567.00
McDonald’s,Sausage McGriddles®,420.00,200.00,22.00,8.00,0.00,35.00,1030.00,44.00,2.00,15.00,11.00,432.00
McDonald’s,Big Breakfast® (Regular Size Biscuit),740.00,430.00,48.00,17.00,0.00,555.00,1560.00,51.00,3.00,3.00,28.00,732.00
McDonald’s,Big Breakfast® (Large Size Biscuit),800.00,470.00,52.00,18.00,0.00,555.00,1680.00,56.00,4.00,3.00,28.00,793.00
McDonald’s,Big Breakfast with Hotcakes (Regular Size Biscuit),1090.00,510.00,56.00,19.00,0.00,575.00,2150.00,111.00,6.00,17.00,36.00,1090.00
McDonald’s,Big Breakfast with Hotcakes (Large Size Biscuit),1150.00,540.00,60.00,20.00,0.00,575.00,2260.00,116.00,7.00,17.00,36.00,1151.00
McDonald’s,Sausage Burrito,300.00,140.00,16.00,7.00,0.00,115.00,830.00,26.00,1.00,2.00,12.00,297.00
McDonald’s,McSkillet™ Burrito with Sausage,610.00,320.00,36.00,14.00,0.50,410.00,1390.00,44.00,3.00,4.00,27.00,601.00
McDonald’s,Hotcakes,350.00,80.00,9.00,2.00,0.00,20.00,590.00,60.00,3.00,14.00,8.00,358.00
McDonald’s,Hotcakes and Sausage,520.00,210.00,24.00,7.00,0.00,50.00,930.00,61.00,3.00,14.00,15.00,526.00
McDonald’s,Hotcake Syrup,180.00,0.00,0.00,0.00,0.00,0.00,20.00,45.00,0.00,32.00,0.00,212.00
McDonald’s,Whipped Margarine (1 pat),40.00,40.00,4.50,1.50,0.00,0.00,55.00,0.00,0.00,0.00,0.00,41.50
McDonald’s,Hash Brown,150.00,80.00,9.00,1.50,0.00,0.00,310.00,15.00,2.00,0.00,1.00,150.50
McDonald’s,Grape Jam,35.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,9.00,0.00,44.00
McDonald’s,Strawberry Preserves,35.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,9.00,0.00,44.00
McDonald’s,"Bacon, Egg & Cheese Bagel",560.00,240.00,27.00,9.00,0.50,260.00,1300.00,56.00,3.00,7.00,24.00,552.00
McDonald’s,Fruit & Maple Oatmeal,290.00,40.00,4.50,2.00,0.00,10.00,160.00,57.00,5.00,32.00,5.00,319.00
McDonald’s,Fruit & Maple Oatmeal without Brown Sugar,260.00,40.00,4.50,2.00,0.00,10.00,115.00,48.00,5.00,18.00,5.00,275.00
McDonald’s,Hamburger Happy Meal,475.00,,16.00,5.5 g,0.00,40.00,690.00,62.00,2.00,20.00,22.00,
McDonald’s,4 Piece Chicken McNuggets Happy Meal,395.00,,17.00,3.50,0.00,35.00,510.00,41.00,1.00,14.00,19.00,
McDonald’s,6 Piece Chicken McNuggets® Happy Meal,475.00,,22.00,4.50,0.00,50.00,680.00,46.00,2.00,14.00,24.00,
McDonald’s,Fruit ‘n Yogurt Parfait (7 oz),160.00,20.00,2.00,1.00,0.00,5.00,85.00,31.00,1.00,21.00,4.00,178.00
McDonald’s,Low Fat Caramel Dip,70.00,5.00,0.50,0.00,0.00,5.00,35.00,15.00,0.00,9.00,0.00,79.00
McDonald’s,Vanilla Reduced Fat Ice Cream Cone,150.00,35.00,3.50,2.00,0.00,15.00,60.00,24.00,0.00,18.00,4.00,166.00
McDonald’s,Kiddie Cone,45.00,10.00,1.00,0.50,0.00,5.00,20.00,8.00,0.00,6.00,1.00,50.50
McDonald’s,Strawberry Sundae,280.00,60.00,6.00,4.00,0.00,25.00,95.00,49.00,1.00,45.00,6.00,323.00
McDonald’s,Hot Caramel Sundae,340.00,70.00,8.00,5.00,0.00,30.00,160.00,60.00,1.00,44.00,7.00,382.00
McDonald’s,Hot Fudge Sundae,330.00,90.00,10.00,7.00,0.00,25.00,180.00,54.00,2.00,48.00,8.00,377.00
McDonald’s,Peanuts (for Sundaes),45.00,30.00,3.50,0.50,0.00,0.00,0.00,2.00,1.00,0.00,2.00,43.50
McDonald’s,McFlurry® with M&M’S® Candies (12 fl oz cup),710.00,230.00,25.00,16.00,1.00,60.00,220.00,105.00,4.00,97.00,15.00,808.00
McDonald’s,McFlurry® with OREO® Cookies (12 fl oz cup),580.00,170.00,19.00,10.00,1.00,50.00,320.00,89.00,3.00,73.00,13.00,650.00
McDonald’s,Baked Hot Apple Pie,250.00,110.00,13.00,7.00,0.00,0.00,170.00,32.00,4.00,13.00,2.00,268.00
McDonald’s,Cinnamon Melts,460.00,170.00,19.00,9.00,0.00,15.00,370.00,66.00,3.00,32.00,6.00,495.00
McDonald’s,McDonaldland® Cookies,260.00,70.00,8.00,2.50,0.00,0.00,300.00,43.00,1.00,13.00,4.00,271.50
McDonald’s,Chocolate Chip Cookie,160.00,70.00,8.00,3.50,0.00,10.00,90.00,21.00,1.00,15.00,2.00,176.50
McDonald’s,Oatmeal Raisin Cookie,150.00,50.00,6.00,2.50,0.00,10.00,135.00,22.00,1.00,13.00,2.00,163.50
McDonald’s,Sugar Cookie,160.00,60.00,7.00,3.00,0.00,5.00,120.00,21.00,0.00,11.00,2.00,172.00
McDonald’s,Apple Dippers with Low Fat Caramel Dip,100.00,5.00,0.50,0.00,0.00,5.00,35.00,23.00,0.00,15.00,0.00,115.00
McDonald’s,Chocolate McCafé® Shake (12 fl oz cup),580.00,150.00,17.00,10.00,1.00,50.00,240.00,94.00,1.00,77.00,11.00,656.00
McDonald’s,Chocolate McCafé® Shake (16 fl oz cup),720.00,180.00,20.00,12.00,1.00,60.00,300.00,119.00,1.00,98.00,15.00,815.00
McDonald’s,Chocolate McCafé® Shake (22 fl oz cup),880.00,220.00,24.00,15.00,1.50,75.00,370.00,147.00,1.00,121.00,18.00,998.00
McDonald’s,Chocolate Triple Thick® Shake (12 fl oz cup),440.00,90.00,10.00,6.00,0.50,40.00,190.00,76.00,1.00,63.00,10.00,499.00
McDonald’s,Chocolate Triple Thick® Shake (16 fl oz cup),580.00,120.00,14.00,8.00,1.00,50.00,250.00,102.00,1.00,84.00,13.00,659.00
McDonald’s,Chocolate Triple Thick® Shake (21 fl oz cup),770.00,160.00,18.00,11.00,1.00,70.00,330.00,134.00,1.00,111.00,18.00,874.00
McDonald’s,Chocolate Triple Thick® Shake (32 fl oz cup),1160.00,240.00,27.00,16.00,2.00,100.00,510.00,203.00,2.00,168.00,27.00,1317.00
McDonald’s,Snack Size McFlurry® with M&M’S® Candies,430.00,140.00,16.00,10.00,0.50,35.00,130.00,64.00,2.00,59.00,9.00,490.00
McDonald’s,Snack Size McFlurry® with OREO® Cookies,340.00,100.00,12.00,6.00,0.00,30.00,200.00,53.00,2.00,43.00,8.00,381.00
McDonald’s,Strawberry McCafé® Shake (12 fl oz cup),570.00,150.00,17.00,10.00,1.00,50.00,170.00,92.00,0.00,79.00,11.00,648.00
McDonald’s,Strawberry McCafé® Shake (16 fl oz cup),710.00,180.00,20.00,12.00,1.00,65.00,210.00,116.00,0.00,100.00,14.00,808.00
McDonald’s,Strawberry McCafé® Shake (22 fl oz cup),860.00,220.00,24.00,15.00,1.50,75.00,260.00,144.00,0.00,124.00,18.00,981.00
McDonald’s,Strawberry Triple Thick® Shake (12 fl oz cup),420.00,90.00,10.00,6.00,0.50,40.00,130.00,73.00,0.00,63.00,10.00,479.00
McDonald’s,Strawberry Triple Thick® Shake (16 fl oz cup),560.00,120.00,13.00,8.00,1.00,50.00,170.00,97.00,0.00,84.00,13.00,639.00
McDonald’s,Strawberry Triple Thick® Shake (21 fl oz cup),740.00,160.00,18.00,11.00,1.00,70.00,230.00,128.00,0.00,111.00,17.00,845.00
McDonald’s,Strawberry Triple Thick® Shake (32 fl oz cup),1110.00,240.00,26.00,16.00,2.00,100.00,350.00,194.00,0.00,168.00,25.00,1269.00
McDonald’s,Vanilla McCafé® Shake (12 fl oz cup),540.00,150.00,16.00,10.00,1.00,45.00,170.00,88.00,0.00,64.00,10.00,604.00
McDonald’s,Vanilla McCafé® Shake (16 fl oz cup),680.00,180.00,20.00,12.00,1.00,60.00,220.00,111.00,0.00,82.00,14.00,760.00
McDonald’s,Vanilla McCafé® Shake (22 fl oz cup),830.00,210.00,24.00,14.00,1.50,75.00,270.00,138.00,0.00,103.00,17.00,930.00
McDonald’s,Vanilla Triple Thick Shake® (32 fl oz cup),1110.00,240.00,26.00,16.00,2.00,100.00,370.00,193.00,0.00,145.00,25.00,1246.00
McDonald’s,Vanilla Triple Thick® Shake (12 fl oz cup),420.00,90.00,10.00,6.00,0.50,40.00,140.00,72.00,0.00,54.00,9.00,471.00
McDonald’s,Vanilla Triple Thick® Shake (16 fl oz cup),550.00,120.00,13.00,8.00,1.00,50.00,190.00,96.00,0.00,72.00,13.00,617.00
McDonald’s,Vanilla Triple Thick® Shake (21 fl oz cup),740.00,160.00,18.00,11.00,1.00,70.00,250.00,128.00,0.00,96.00,17.00,830.00
McDonald’s,1% Low Fat Milk Jug,100.00,20.00,2.50,1.50,0.00,10.00,125.00,12.00,0.00,12.00,8.00,105.50
McDonald’s,1% Low Fat Chocolate Milk Jug,170.00,25.00,3.00,1.50,0.00,5.00,150.00,26.00,1.00,25.00,9.00,187.50
McDonald’s,Minute Maid® 100% Apple Juice Box,100.00,0.00,0.00,0.00,0.00,0.00,15.00,23.00,0.00,22.00,0.00,122.00
McDonald’s,Dasani® Water,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
McDonald’s,Minute Maid® Orange Juice (Small),150.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,30.00,2.00,178.00
McDonald’s,Minute Maid® Orange Juice (Medium),190.00,0.00,0.00,0.00,0.00,0.00,0.00,39.00,0.00,39.00,3.00,226.00
McDonald’s,Minute Maid® Orange Juice (Large),280.00,0.00,0.00,0.00,0.00,0.00,5.00,58.00,0.00,58.00,4.00,334.00
McDonald’s,Coca-Cola® Classic (Child),110.00,0.00,0.00,0.00,0.00,0.00,5.00,29.00,0.00,29.00,0.00,139.00
McDonald’s,Coca-Cola® Classic (Small),150.00,0.00,0.00,0.00,0.00,0.00,10.00,40.00,0.00,40.00,0.00,190.00
McDonald’s,Coca-Cola® Classic (Medium),210.00,0.00,0.00,0.00,0.00,0.00,15.00,58.00,0.00,58.00,0.00,268.00
McDonald’s,Coca-Cola® Classic (Large),310.00,0.00,0.00,0.00,0.00,0.00,20.00,86.00,0.00,86.00,0.00,396.00
McDonald’s,Diet Coke® (Child),0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00
McDonald’s,Diet Coke® (Small),0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00
McDonald’s,Diet Coke® (Medium),0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00
McDonald’s,Diet Coke® (Large),0.00,0.00,0.00,0.00,0.00,0.00,45.00,0.00,0.00,0.00,0.00,0.00
McDonald’s,Sprite® (Child),110.00,0.00,0.00,0.00,0.00,0.00,30.00,28.00,0.00,28.00,0.00,138.00
McDonald’s,Sprite® (Small),150.00,0.00,0.00,0.00,0.00,0.00,40.00,39.00,0.00,39.00,0.00,189.00
McDonald’s,Sprite® (Medium),210.00,0.00,0.00,0.00,0.00,0.00,55.00,56.00,0.00,56.00,0.00,266.00
McDonald’s,Sprite® (Large),310.00,0.00,0.00,0.00,0.00,0.00,80.00,83.00,0.00,83.00,0.00,393.00
McDonald’s,Hi-C® Orange Lavaburst (Child),120.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,0.00,32.00,0.00,152.00
McDonald’s,Hi-C® Orange Lavaburst (Small),160.00,0.00,0.00,0.00,0.00,0.00,5.00,44.00,0.00,44.00,0.00,204.00
McDonald’s,Hi-C® Orange Lavaburst (Medium),240.00,0.00,0.00,0.00,0.00,0.00,10.00,64.00,0.00,64.00,0.00,304.00
McDonald’s,Hi-C® Orange Lavaburst (Large),350.00,0.00,0.00,0.00,0.00,0.00,10.00,94.00,0.00,94.00,0.00,444.00
McDonald’s,POWERade® Mountain Blast (Child),70.00,0.00,0.00,0.00,0.00,0.00,65.00,20.00,0.00,16.00,0.00,86.00
McDonald’s,POWERade® Mountain Blast (Small),100.00,0.00,0.00,0.00,0.00,0.00,85.00,27.00,0.00,21.00,0.00,121.00
McDonald’s,POWERade® Mountain Blast (Medium),150.00,0.00,0.00,0.00,0.00,0.00,130.00,39.00,0.00,31.00,0.00,181.00
McDonald’s,POWERade® Mountain Blast (Large),220.00,0.00,0.00,0.00,0.00,0.00,190.00,58.00,0.00,46.00,0.00,266.00
McDonald’s,Iced Tea (Child),0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00
McDonald’s,Iced Tea (Small),0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00
McDonald’s,Iced Tea (Medium),0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00
McDonald’s,Iced Tea (Large),0.00,0.00,0.00,0.00,0.00,0.00,20.00,1.00,0.00,0.00,0.00,0.00
McDonald’s,Coffee (Small),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
McDonald’s,Coffee (Large),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
McDonald’s,Coffee Cream,20.00,20.00,2.00,1.50,0.00,10.00,15.00,0.00,0.00,0.00,0.00,21.50
McDonald’s,Sugar Packet,15.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,19.00
McDonald’s,"EQUAL® 0
Calorie Sweetener",0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00
McDonald’s,"SPLENDA® No
Calorie Sweetener",0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00
McDonald’s,Iced Coffee– Caramel (Small),130.00,50.00,5.00,3.50,0.00,20.00,80.00,21.00,0.00,20.00,1.00,152.50
McDonald’s,Iced Coffee– Caramel (Medium),190.00,70.00,8.00,5.00,0.00,30.00,115.00,27.00,0.00,27.00,2.00,220.00
McDonald’s,Iced Coffee– Caramel (Large),270.00,100.00,11.00,7.00,0.00,40.00,160.00,41.00,0.00,41.00,2.00,316.00
McDonald’s,Iced Coffee– Hazelnut (Small),130.00,50.00,5.00,3.50,0.00,20.00,40.00,21.00,0.00,21.00,1.00,153.50
McDonald’s,Iced Coffee– Hazelnut (Medium),190.00,70.00,8.00,5.00,0.00,30.00,60.00,29.00,0.00,29.00,2.00,222.00
McDonald’s,Iced Coffee– Hazelnut (Large),270.00,100.00,11.00,7.00,0.00,40.00,85.00,43.00,0.00,43.00,2.00,318.00
McDonald’s,Iced Coffee– Regular (Small),140.00,50.00,5.00,3.50,0.00,20.00,40.00,22.00,0.00,22.00,1.00,164.50
McDonald’s,Iced Coffee– Regular (Medium),200.00,70.00,8.00,5.00,0.00,30.00,60.00,30.00,0.00,30.00,2.00,233.00
McDonald’s,Iced Coffee– Regular (Large),280.00,100.00,11.00,7.00,0.00,40.00,85.00,45.00,0.00,45.00,2.00,330.00
